ts_utc,market,team,price,bid,ask,last_trade,volume,liquidity,closed
2026-06-12T11:39:29+00:00,outright,Bosnia and Herzegovina,0.0015,0.001,0.002,0.001,31286848.906717908,14213667.13255,False
2026-06-12T11:39:29+00:00,outright,United States,0.0115,0.011,0.012,0.012,58437126.710739255,6863397.32696,False
2026-06-12T11:39:29+00:00,outright,Canada,0.0035,0.003,0.004,0.004,47460347.89833311,8482946.51327,False
2026-06-12T11:39:29+00:00,outright,Turkey,0.0115,0.011,0.012,0.011,40729739.889217146,2934178.22449,False
2026-06-12T11:39:29+00:00,outright,Uruguay,0.0095,0.009,0.01,0.009,43989137.81699599,10132973.53354,False
2026-06-12T11:39:29+00:00,outright,Mexico,0.0145,0.014,0.015,0.014,49508630.6270283,1852729.83521,False
2026-06-12T11:39:29+00:00,outright,Paraguay,0.0015,0.001,0.002,0.002,48873065.56933261,3996568.21698,False
2026-06-12T11:39:29+00:00,outright,Scotland,0.0025,0.002,0.003,0.002,44923745.06982937,15214891.44653,False
2026-06-12T11:39:29+00:00,outright,Japan,0.0215,0.021,0.022,0.022,45428544.46223095,636048.72833,False
2026-06-12T11:39:29+00:00,outright,Norway,0.0245,0.024,0.025,0.024,42937759.43220089,1373390.94754,False
2026-06-12T11:39:29+00:00,outright,Tunisia,0.0005,,0.001,0.001,35854112.263686016,16382788.00877,False
2026-06-12T11:39:29+00:00,outright,Ecuador,0.0085,0.008,0.009,0.008,49399013.66487872,4317408.18731,False
2026-06-12T11:39:29+00:00,outright,Uzbekistan,0.0005,,0.001,0.001,60214272.13841757,13834339.76145,False
2026-06-12T11:39:29+00:00,outright,Morocco,0.0155,0.015,0.016,0.016,47037202.77445275,1889715.68881,False
2026-06-12T11:39:29+00:00,outright,Panama,0.0005,,0.001,0.001,19673909.555756878,19152039.52836,False
2026-06-12T11:39:29+00:00,outright,Iraq,0.0005,,0.001,0.001,29311705.602710936,19459207.08234,False
2026-06-12T11:39:29+00:00,outright,South Africa,0.0005,,0.001,0.001,38659894.00789427,12920698.08531,False
2026-06-12T11:39:29+00:00,outright,Senegal,0.0065,0.006,0.007,0.007,41258562.256753445,5652467.3262,False
2026-06-12T11:39:29+00:00,outright,Ivory Coast,0.0035,0.003,0.004,0.004,56609369.983116314,5114103.271,False
2026-06-12T11:39:29+00:00,outright,DR Congo,0.0015,0.001,0.002,0.001,60155361.13240983,9645520.44353,False
2026-06-12T11:39:29+00:00,outright,Cape Verde,0.0005,,0.001,0.001,40440003.17716404,18676049.08119,False
2026-06-12T11:39:29+00:00,outright,Czech Republic,0.0015,0.001,0.002,0.001,45542133.20801602,11756891.64626,False
2026-06-12T11:39:29+00:00,outright,Qatar,0.0005,,0.001,0.001,42248929.66833187,18299068.29883,False
2026-06-12T11:39:29+00:00,outright,Belgium,0.0205,0.02,0.021,0.02,44572023.35774554,2313928.47583,False
2026-06-12T11:39:29+00:00,outright,Australia,0.0015,0.001,0.002,0.001,48235100.986567825,18432873.90993,False
2026-06-12T11:39:29+00:00,outright,Saudi Arabia,0.0005,,0.001,0.001,49166382.02288372,12672364.19171,False
2026-06-12T11:39:29+00:00,outright,Austria,0.0045,0.004,0.005,0.004,46762797.08030736,3659847.47982,False
2026-06-12T11:39:29+00:00,outright,Croatia,0.0085,0.008,0.009,0.008,48283166.83438427,3159431.54689,False
2026-06-12T11:39:29+00:00,outright,Egypt,0.0025,0.002,0.003,0.002,53756668.97386071,6971424.15264,False
2026-06-12T11:39:29+00:00,outright,Sweden,0.0035,0.003,0.004,0.003,34357879.35141919,9804588.19277,False
2026-06-12T11:39:29+00:00,group_winner,Mexico,0.625,0.62,0.63,0.63,351501.12415699946,96659.344,False
2026-06-12T11:39:29+00:00,group_winner,South Korea,0.345,0.34,0.35,0.35,119077.94444000012,80984.9269,False
